Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2016:Q3,Next9,34180230,36749389,7509783,964907,7296296,7667621,3847283,2973517,6489983,2569158,2051012,282595,235551
2016:Q3,Next40,26152685,32308611,10578831,2172700,2518165,7201031,3389052,1406940,5041891,6155925,4723341,1275610,156974
2016:Q3,Bottom50,1189760,5694462,2794079,1164169,160714,243215,362735,140152,829398,4504702,2347738,1911946,245018
2016:Q4,TopPt1,11040259,11140649,925750,475439,4903914,57498,179776,2590264,2008008,100390,49169,15292,35929
2016:Q4,RemainingTop1,15995649,16663401,2820540,342940,5948081,398505,842645,2822866,3487824,667753,439780,71675,156298
2016:Q4,Next9,34396251,36971050,7607850,987425,7392647,7695741,3882884,2999927,6404575,2574799,2080812,285234,208753
2016:Q4,Next40,26462727,32673642,10804889,2183955,2533887,7249654,3394197,1431287,5075772,6210915,4747271,1305335,158309
2016:Q4,Bottom50,1207810,5749232,2816007,1172746,159186,248613,368452,146930,837297,4541422,2341790,1958900,240732
2017:Q1,TopPt1,11327667,11431086,941956,473563,5151659,55280,178191,2632653,1997784,103419,49129,15846,38444
2017:Q1,RemainingTop1,16540586,17210754,2897080,344691,6371824,400201,850328,2841369,3505262,670168,442045,72242,155881
2017:Q1,Next9,35202497,37803417,7723894,1005655,7819054,7743012,4058427,2984888,6468488,2600920,2117833,280226,202861
2017:Q1,Next40,27136564,33357639,11047089,2203577,2639619,7315906,3531935,1440247,5179267,6221075,4766810,1294368,159897
2017:Q1,Bottom50,1244332,5785872,2793051,1190662,164869,254357,387699,143242,851992,4541540,2330511,1967773,243256
2017:Q2,TopPt1,11563450,11668910,966276,464863,5264078,53134,174062,2769656,1976841,105459,49174,15784,40501
2017:Q2,RemainingTop1,16761923,17429047,2910944,343656,6625082,401996,848891,2828427,3470051,667124,444870,68169,154085
2017:Q2,Next9,35936866,38583606,7898071,1023726,8059989,7785314,4185092,3197228,6434185,2646740,2158687,281083,206970
2017:Q2,Next40,27480326,33761670,11216122,2211456,2692031,7377622,3619816,1436418,5208205,6281343,4794191,1314631,172521
2017:Q2,Bottom50,1363509,5948111,2918941,1197043,166301,260033,401789,149772,854232,4584603,2327053,2003077,254473
2017:Q3,TopPt1,11718424,11826980,987300,451632,5397636,50981,170788,2840101,1928542,108555,49176,16159,43220
2017:Q3,RemainingTop1,17103086,17772161,2951116,343932,6908962,403764,850674,2839308,3474406,669075,448121,66426,154528
2017:Q3,Next9,36610576,39285192,8042247,1043593,8334798,7827546,4331057,3270629,6435322,2674616,2198321,281734,194561
2017:Q3,Next40,27960148,34298338,11439146,2211886,2755792,7439298,3729997,1449298,5272922,6338190,4828561,1335247,174382
2017:Q3,Bottom50,1433492,6068670,2998344,1199261,168300,265726,418540,151999,866500,4635178,2331030,2049634,254514
2017:Q4,TopPt1,12064524,12174709,1003940,435837,5654249,48787,168075,2944296,1919525,110185,49069,16114,45002
2017:Q4,RemainingTop1,17683052,18343952,2996364,349068,7358638,405454,854680,2857178,3522570,660901,451160,62014,147727
2017:Q4,Next9,37523087,40261194,8138131,1074192,8782949,7871791,4496404,3371462,6526264,2738107,2233245,284540,220322
2017:Q4,Next40,28544162,34957138,11658269,2227701,2864747,7502840,3859065,1458431,5386085,6412976,4861344,1367028,184604
2017:Q4,Bottom50,1463382,6170028,3042403,1213938,173933,271470,437359,153170,877755,4706646,2333976,2101056,271614
2018:Q1,TopPt1,12110686,12223846,1026031,433566,5595446,46751,157801,2994027,1970225,113160,49095,16655,47410
2018:Q1,RemainingTop1,17834876,18499159,3085830,345551,7395859,407373,831440,2863293,3569813,664283,452931,62411,148941
2018:Q1,Next9,37953921,40719614,8314301,1093561,8793114,7905976,4505515,3425647,6681500,2765694,2270614,279261,215819
2018:Q1,Next40,29054793,35477171,11985451,2256470,2852796,7557146,3821561,1474156,5529592,6422378,4875580,1354379,192419
2018:Q1,Bottom50,1531290,6233875,3063728,1231419,169972,277060,438141,156089,897466,4702585,2317706,2107208,277671
2018:Q2,TopPt1,12199496,12314862,1048104,425803,5639920,44591,151125,3030926,1974392,115366,49340,16632,49394
2018:Q2,RemainingTop1,18018050,18682332,3076816,346675,7571818,409082,821374,2887067,3569500,664282,455971,58600,149711
2018:Q2,Next9,38441666,41240780,8457219,1117639,8948029,7947307,4593414,3458406,6718766,2799114,2318223,278848,202043
2018:Q2,Next40,29343039,35826019,12086299,2278468,2877555,7618022,3867801,1503550,5594325,6482980,4906714,1368410,207856
2018:Q2,Bottom50,1661419,6399718,3190014,1248243,169068,282791,448139,160137,901327,4738299,2317544,2135671,285084
2018:Q3,TopPt1,12440927,12559573,1066795,415140,5856041,42282,147324,3039854,1992136,118645,49618,16923,52104
2018:Q3,RemainingTop1,18452626,19117742,3091717,351575,7977838,410541,821682,2890428,3573961,665116,459402,55745,149969
2018:Q3,Next9,39230129,42072180,8571410,1141742,9347596,7997297,4734582,3493790,6785763,2842051,2367504,280267,194280
2018:Q3,Next40,29807372,36357154,12223385,2288326,2970857,7686854,3979289,1532351,5676092,6549782,4943737,1394183,211862
2018:Q3,Bottom50,1723746,6521908,3262194,1261561,173238,288689,465922,166776,903528,4798162,2323148,2187450,287564
2018:Q4,TopPt1,11635157,11755808,1079979,406517,4925832,40608,122237,3066667,2113968,120651,49725,16790,54136
